Time	Lux	CLA	CS	Activity
12/30/2013 09:29:00	20.704895	18.331726	0.025637561	0.72903925
12/30/2013 09:30:30	23.410173	20.81065	0.029324437	0.0312
12/30/2013 09:32:00	11.682299	9.48054	0.012630505	0.038212042
12/30/2013 09:33:30	4.0579176	3.7065804	0.0045373617	0.038212042
12/30/2013 09:35:00	5.364981	3.1140406	0.0037486672	0.17230763
12/30/2013 09:36:30	3.1055803	2.6633308	0.0031578243	0.022061732
12/30/2013 09:38:00	3.1055803	2.6633308	0.0031578243	0.022061732
12/30/2013 09:39:30	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 09:41:00	3.1511557	2.2879431	0.0026726245	0.0312
12/30/2013 09:42:30	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 09:44:00	3.1511557	2.2879431	0.0026726245	0.022061732
12/30/2013 09:45:30	3.1511557	2.2879431	0.0026726245	0.022061732
12/30/2013 09:47:00	2.6597028	2.6626475	0.0031569065	0.0624
12/30/2013 09:48:30	2.6597028	2.6626475	0.0031569065	0.022061732
12/30/2013 09:50:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 09:51:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 09:53:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 09:54:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 09:56:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 09:57:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 09:59:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:00:30	2.6597028	2.6626475	0.0031569065	0.022061732
12/30/2013 10:02:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:03:30	2.6597028	2.6626475	0.0031569065	0.022061732
12/30/2013 10:05:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:06:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:08:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:09:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:11:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:12:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:14:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:15:30	2.6597028	2.6626475	0.0031569065	0.022061732
12/30/2013 10:17:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:18:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:20:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:21:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:23:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:24:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:26:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:27:30	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 10:29:00	2.6597028	2.6626475	0.0031569065	0.022061732
12/30/2013 10:30:30	2.7052782	2.4707508	0.0029079854	0.0312
12/30/2013 10:32:00	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 10:33:30	2.7052782	2.4707508	0.0029079854	0.0312
12/30/2013 10:35:00	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 10:36:30	3.1511557	2.2879431	0.0026726245	0.0312
12/30/2013 10:38:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:39:30	2.7052782	2.4707508	0.0029079854	0.0312
12/30/2013 10:41:00	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 10:42:30	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 10:44:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:45:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:47:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:48:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:50:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:51:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 10:53:00	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 10:54:30	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 10:56:00	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 10:57:30	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 10:59:00	3.1511557	2.2879431	0.0026726245	0.0312
12/30/2013 11:00:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 11:02:00	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 11:03:30	3.1511557	2.2879431	0.0026726245	0.0312
12/30/2013 11:05:00	3.1511557	2.2879431	0.0026726245	0.0312
12/30/2013 11:06:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 11:08:00	3.1511557	2.2879431	0.0026726245	0.0312
12/30/2013 11:09:30	3.1511557	2.2879431	0.0026726245	0.0312
12/30/2013 11:11:00	3.1511557	2.2879431	0.0026726245	0.0312
12/30/2013 11:12:30	3.1511557	2.2879431	0.0026726245	0.0312
12/30/2013 11:14:00	3.1511557	2.2879431	0.0026726245	0.0312
12/30/2013 11:15:30	3.1511557	2.2879431	0.0026726245	0.0312
12/30/2013 11:17:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 11:18:30	3.1055803	2.6633308	0.0031578243	0.0312
12/30/2013 11:20:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 11:21:30	2.6597028	2.6626475	0.0031569065	0.29762906
12/30/2013 11:23:00	1.3526391	1.2352239	0.0013570487	0.09616486
12/30/2013 11:24:30	1.3526391	1.2352239	0.0013570487	0.1832585
12/30/2013 11:26:00	1.3526391	1.2352239	0.0013570487	0.22820832
12/30/2013 11:27:30	1.3526391	1.2352239	0.0013570487	0.18058306
12/30/2013 11:29:00	1.3526391	1.2352239	0.0013570487	0.18058306
12/30/2013 11:30:30	1.7529413	0.551362	5.5821537E-4	0.21389642
12/30/2013 11:32:00	1.3526391	1.2352239	0.0013570487	0.22061731
12/30/2013 11:33:30	2.6597028	2.6626475	0.0031569065	0.10580435
12/30/2013 11:35:00	2.6597028	2.6626475	0.0031569065	0.25728178
12/30/2013 11:36:30	1.7985166	1.0524164	0.0011377096	0.16801713
12/30/2013 11:38:00	1.7985166	1.0524164	0.0011377096	0.19359091
12/30/2013 11:39:30	1.7985166	1.0524164	0.0011377096	0.22927225
12/30/2013 11:41:00	8.516137	5.4038014	0.0068528773	0.43400535
12/30/2013 11:42:30	22.138807	21.851177	0.03087362	0.46382135
12/30/2013 11:44:00	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 11:45:30	2.6597028	2.6626475	0.0031569065	0.0312
12/30/2013 11:47:00	2.6597028	2.6626475	0.0031569065	0.044123463
12/30/2013 11:48:30	1.7985166	1.0524164	0.0011377096	0.022061732
12/30/2013 11:50:00	1.7985166	1.0524164	0.0011377096	0.038212042
12/30/2013 11:51:30	1.7985166	1.0524164	0.0011377096	0.0312
12/30/2013 11:53:00	1.7529413	0.551362	5.5821537E-4	0.0312
12/30/2013 11:54:30	1.3526391	1.2352239	0.0013570487	0.022061732
12/30/2013 11:56:00	1.3526391	1.2352239	0.0013570487	0.0312
12/30/2013 11:57:30	1.3526391	1.2352239	0.0013570487	0.0312
12/30/2013 11:59:00	1.7985166	1.0524164	0.0011377096	0.0312
12/30/2013 12:00:30	1.7529413	0.551362	5.5821537E-4	0.0312
12/30/2013 12:02:00	1.7529413	0.551362	5.5821537E-4	0.0312
12/30/2013 12:03:30	1.7985166	1.0524164	0.0011377096	0.0312
12/30/2013 12:05:00	1.3526391	1.2352239	0.0013570487	0.0312
12/30/2013 12:06:30	1.7985166	1.0524164	0.0011377096	0.0312
12/30/2013 12:08:00	1.7985166	1.0524164	0.0011377096	0.0312
12/30/2013 12:09:30	1.7985166	1.0524164	0.0011377096	0.0312
12/30/2013 12:11:00	1.7529413	0.551362	5.5821537E-4	0.0312
12/30/2013 12:12:30	1.3070637	0.55067873	5.574644E-4	0.0312
12/30/2013 12:14:00	1.7985166	1.0524164	0.0011377096	0.0312
12/30/2013 12:15:30	1.3070637	0.55067873	5.574644E-4	0.022061732
12/30/2013 12:17:00	1.7985166	1.0524164	0.0011377096	0.0312
12/30/2013 12:18:30	16.343513	12.30536	0.016737908	0.38084453
12/30/2013 12:20:00	15.082581	8.547503	0.011289102	0.0312
12/30/2013 12:21:30	15.943768	9.097499	0.0120787565	0.0312
12/30/2013 12:23:00	15.943768	9.097499	0.0120787565	0.0312
12/30/2013 12:24:30	15.082581	8.547503	0.011289102	0.0312
12/30/2013 12:26:00	14.6367035	8.54682	0.011288059	0.0312
12/30/2013 12:27:30	15.943768	9.097499	0.0120787565	0.0312
12/30/2013 12:29:00	14.6367035	8.54682	0.011288059	0.0312
12/30/2013 12:30:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:32:00	11.500554	6.4321184	0.008286947	0.0312
12/30/2013 12:33:30	11.500554	6.4321184	0.008286947	0.0312
12/30/2013 12:35:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:36:30	11.500554	6.4321184	0.008286947	0.0312
12/30/2013 12:38:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:39:30	11.500554	6.4321184	0.008286947	0.0312
12/30/2013 12:41:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:42:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:44:00	11.500554	6.4321184	0.008286947	0.0312
12/30/2013 12:45:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:47:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:48:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:50:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:51:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:53:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:54:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:56:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:57:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 12:59:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:00:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:02:00	9.747613	5.8807564	0.0075155674	0.0312
12/30/2013 13:03:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:05:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:06:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:08:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:09:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:11:00	11.500554	6.4321184	0.008286947	0.0312
12/30/2013 13:12:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:14:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:15:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:17:00	11.500554	6.4321184	0.008286947	0.0312
12/30/2013 13:18:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:20:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:21:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:23:00	10.19349	5.8814397	0.007516569	0.022061732
12/30/2013 13:24:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:26:00	10.639368	5.882123	0.007517445	0.0312
12/30/2013 13:27:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:29:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:30:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:32:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:33:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:35:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:36:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:38:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:39:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:41:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:42:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:44:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:45:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:47:00	9.747613	5.8807564	0.0075155674	0.0312
12/30/2013 13:48:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:50:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:51:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:53:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:54:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:56:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:57:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 13:59:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:00:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:02:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:03:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:05:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:06:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:08:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:09:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:11:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:12:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:14:00	10.19349	5.8814397	0.007516569	0.038212042
12/30/2013 14:15:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:17:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:18:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 14:20:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:21:30	10.639368	5.882123	0.007517445	0.0312
12/30/2013 14:23:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:24:30	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:26:00	10.19349	5.8814397	0.007516569	0.0312
12/30/2013 14:27:30	10.19349	5.8814397	0.007516569	0.0624
12/30/2013 14:29:00	9.747613	5.8807564	0.0075155674	0.0312
12/30/2013 14:30:30	8.886427	5.330761	0.0067518232	0.0624
12/30/2013 14:32:00	8.886427	5.330761	0.0067518232	0.0312
12/30/2013 14:33:30	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:35:00	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:36:30	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:38:00	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:39:30	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:41:00	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:42:30	8.886427	5.330761	0.0067518232	0.0312
12/30/2013 14:44:00	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:45:30	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:47:00	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:48:30	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:50:00	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:51:30	8.886427	5.330761	0.0067518232	0.022061732
12/30/2013 14:53:00	8.886427	5.330761	0.0067518232	0.022061732
